CurrentTime,Line,TripID,Destination,StopID,Stop,SecondsAway,PosTimestamp,TrainNumber,PosLatitude,PosLongitude,PosHeading,Note
1381322876,Orange,O9860F86B,Oak Grove,70013,Mass Ave,96,1381322856,1236,42.33526,-71.09091,40,
1381322876,Orange,O9860F86B,Oak Grove,70015,Back Bay,240,1381322856,1236,42.33526,-71.09091,40,
1381322876,Orange,O9860F86B,Oak Grove,70017,Tufts Medical,383,1381322856,1236,42.33526,-71.09091,40,
1381322876,Orange,O9860F86B,Oak Grove,70019,Chinatown,478,1381322856,1236,42.33526,-71.09091,40,
1381322876,Orange,O9860F86B,Oak Grove,70021,Downtown Crossing,564,1381322856,1236,42.33526,-71.09091,40,
1381322876,Orange,O9860F86B,Oak Grove,70023,State Street,700,1381322856,1236,42.33526,-71.09091,40,
1381322876,Orange,O9860F86B,Oak Grove,70025,Haymarket,788,1381322856,1236,42.33526,-71.09091,40,
1381322876,Orange,O9860F86B,Oak Grove,70027,North Station,871,1381322856,1236,42.33526,-71.09091,40,
1381322876,Orange,O9860F86B,Oak Grove,70029,Community College,1013,1381322856,1236,42.33526,-71.09091,40,
1381322876,Orange,O9860F86B,Oak Grove,70031,Sullivan,1149,1381322856,1236,42.33526,-71.09091,40,
